layer,causeLabel,immediateCauseLabel,contributingFactorLabel,effectLabel,immediateCauseOfLabel,contributingFactorOfLabel,coords,survivors,injured,dead,placePicture,placeLabel,countryLabel,date,item,itemLabel
,,,,,,,Point(114.170694444 22.3128),,,,,,,,http://www.wikidata.org/entity/Q85881904,Q85881904
,,,,,,,Point(-0.1012 51.5094),,,,,,,,http://www.wikidata.org/entity/Q96359684,1807 Newgate stampede
,,,,,,,Point(79.87194444 6.93722222),,,,,,,,http://www.wikidata.org/entity/Q96370362,2020 Maligawatta stampede
,,,,,,,Point(74.9482 33.0299),,,,,,,,http://www.wikidata.org/entity/Q110413401,Vaishno Devi Temple stampede
,,,,,,,Point(-88.4553 47.2484),,,,http://commons.wikimedia.org/wiki/Special:FilePath/Italian%20Hall%20Disaster%20in%20Pictures%20-%20Italian%20Hall%20%28crop%29.jpg,Italian Hall,United States of America,1913-12-24T00:00:00Z,http://www.wikidata.org/entity/Q424764,Italian Hall disaster
,,,,,,,Point(-2.41611111 53.56888889),,,,http://commons.wikimedia.org/wiki/Special:FilePath/Facupfinal1901-D.jpg,Burnden Park,United Kingdom,,http://www.wikidata.org/entity/Q891641,Burnden Park disaster
,,,,,,,Point(31.2036 30.0586),,,,http://commons.wikimedia.org/wiki/Special:FilePath/Zamalek%20Stadium.jpg,Abdel-Latif Abu-Rajelha Stadium,Egypt,,http://www.wikidata.org/entity/Q8065589,Zamalek disaster
,,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20Kyoto%20sta01nt3200.jpg,Kyōto Station,Japan,1934-01-08T00:00:00Z,http://www.wikidata.org/entity/Q11375731,1934 Kyoto station stampede
,,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Iyahiko-jinja%201.JPG,Yahiko Shrine,Japan,1956-01-01T00:00:00Z,http://www.wikidata.org/entity/Q11487793,1956 Yahiko Shrine Stampede
,,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Mina%20Overview.JPG,Mina,Saudi Arabia,,http://www.wikidata.org/entity/Q21028870,1998 Hajj stampede
,,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Mina%20Overview.JPG,Mina,Saudi Arabia,,http://www.wikidata.org/entity/Q21028871,2001 Hajj stampede
,,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Mina%20Overview.JPG,Mina,Saudi Arabia,,http://www.wikidata.org/entity/Q21028872,2004 Hajj stampede
,,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/SenegaleseWrestling.JPG,Stade Demba Diop,Senegal,2017-07-15T00:00:00Z,http://www.wikidata.org/entity/Q39055434,Demba Diop stadium crush
,,,,,Fukagawa Matsuri,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Eitaibashi2.JPG,Eitai Bridge,Japan,1807-09-20T00:00:00Z,http://www.wikidata.org/entity/Q85881761,Eitai Bridge collapse
,,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Gersfeld.JPG,Gersfeld,Electorate of Hesse,1866-07-05T00:00:00Z,http://www.wikidata.org/entity/Q98489459,Panic at Gersfeld
